"","SampleID","Part","AnalysedRegionArea","AnalysedRegionWidth","AnalysedRegionHeight","Length","ProjArea","SurfArea","AvgDiam","LenPerVol","RootVolume.cm3.","Tips","Forks","Crossings","NofNodules","NumberOfClasses","L0_0.5","L0.5_1.0","L1.0_1.5","L1.5_2.0","L2.0_2.5","L2.5_3.0","L3.0_3.5","L3.5_4.0","L4.0_4.5","L_4.5","SA0_0.5","SA0.5_1.0","SA1.0_1.5","SA1.5_2.0","SA2.0_2.5","SA2.5_3.0","SA3.0_3.5","SA3.5_4.0","SA4.0_4.5","SA4.5","PA0_0.5","PA0.5_1.0","PA1.0_1.5","PA1.5_2.0","PA2.0_2.5","PA2.5_3.0","PA3.0_3.5","PA3.5_4.0","PA4.0_4.5","PA4.5","V0_0.5","V0.5_1.0","V1.0_1.5","V1.5_2.0","V2.0_2.5","V2.5_3.0","V3.0_3.5","V3.5_4.0","V4.0_4.5","V.4.5","T0_0.5","T0.5_1.0","T1.0_1.5","T1.5_2.0","T2.0_2.5","T2.5_3.0","T3.0_3.5","T3.5_4.0","T4.0_4.5","T4.5","GT","TMT","rep"
"1",4,1,1224.0589,40.6717,30.0961,6626.3795,604.4647,1898.9818,0.9122,6626.3795,43.307,21284,71696,6964,0,10,3768.4776,1391.0501,634.1032,331.4551,168.0066,90.2363,69.812,39.7689,29.4093,100.2457,256.6422,308.6448,243.381,178.8114,118.4143,77.3308,70.7037,46.6006,39.0884,227.6621,81.6917,98.2447,77.4706,56.9174,37.6925,24.6152,22.5057,14.8334,12.4422,72.4671,1.8098,5.6909,7.5239,7.731,6.6698,5.2857,5.7094,4.3514,4.1388,46.9971,20193,744,196,100,32,8,7,0,1,3,"PI313307","WW+",1
"2",5,1,1224.0589,40.6717,30.0961,3335.6642,144.8833,455.1644,0.4343,3335.6642,4.942,12851,19048,3516,0,10,2578.1969,508.7774,142.0211,51.4111,29.7022,8.6508,5.339,2.3025,2.6251,4.7374,145.9878,114.6353,54.4466,27.6835,20.8196,7.3628,5.3798,2.6863,3.442,9.649,46.4694,36.4895,17.3309,8.8119,6.6271,2.3436,1.7125,0.8551,1.0956,3.0714,0.8758,2.1407,1.6891,1.1951,1.1659,0.4998,0.4322,0.2499,0.3595,1.6729,12469,170,78,56,57,15,5,0,1,0,"PI313307","WW+",2
"3",6,3,1857.0914,64.9223,57.1977,14630.1463,737.9306,2318.2776,1.0078,14630.1463,29.316,43947,133407,22212,0,20,10648.9427,2595.9098,740.9022,333.0735,153.7532,64.0539,36.8833,17.9428,13.5237,18.5082,678.6552,570.1112,279.4424,179.2075,108.1474,54.7357,37.3988,20.9231,17.8152,34.7101,216.0226,181.472,88.9492,57.0436,34.4244,17.4229,11.9044,6.66,5.6708,11.0486,4.4579,10.397,8.4981,7.7288,6.0798,3.7309,3.0234,1.9442,1.87,5.4879,42647,905,230,105,41,13,5,0,0,1,"PI313307","WW+",3
"4",7,1,1224.0589,40.6717,30.0961,6704.57,369.3477,1160.34,0.5509,6704.57,15.98,19730,70648,11374,0,10,4634.62,1259.3226,424.6206,185.4165,88.4704,40.5081,27.52,15.4609,10.4076,14.9413,288.3722,274.9706,163.2545,99.8899,62.3786,34.7944,28.0031,18.1115,13.8423,27.4241,91.7917,87.5259,51.9655,31.7959,19.8557,11.0754,8.9137,5.7651,4.4061,8.7294,1.9284,4.9826,5.0566,4.3134,3.514,2.3843,2.2718,1.6907,1.4669,4.2621,19318,271,80,35,16,7,0,3,0,0,"PI535413","WW+",1
"5",8,1,1224.0589,40.6717,30.0961,5009.7156,177.8985,558.8847,0.3551,5009.7156,4.962,22337,34725,7504,0,10,4193.4738,526.3251,177.4985,59.4671,25.767,13.0175,4.8676,2.1213,1.1057,3.0068,216.0726,113.5761,67.3461,32.0417,18.2071,11.0692,4.83,2.449,1.4597,4.8343,68.778,36.1524,21.4369,10.1992,5.7955,3.5234,1.5374,0.7795,0.4646,1.5388,1.2407,2.0298,2.0622,1.3839,1.0282,0.7507,0.382,0.2253,0.1535,0.6212,21664,365,178,82,26,16,3,2,0,1,"PI535413","WW+",2
"6",9,1,1224.0589,40.6717,30.0961,7561.2218,349.0753,1096.6524,0.4617,7561.2218,12.657,28252,68615,11800,0,10,5686.6325,1187.6237,401.9262,167.9642,62.113,24.6726,12.0872,5.9689,2.3432,5.181,339.6717,254.9028,154.0159,90.2381,43.3629,21.1584,12.2369,7.0099,3.1149,8.7689,108.1209,81.1381,49.0248,28.7237,13.8028,6.7349,3.8951,2.2313,0.9915,2.7912,2.182,4.5367,4.7573,3.8851,2.4192,1.4472,0.9875,0.6564,0.33,1.1989,27276,647,204,84,23,13,4,1,0,0,"PI535413","WW+",3
"7",10,1,1224.0589,40.6717,30.0961,6597.9453,312.5611,981.9397,0.4737,6597.9453,11.629,21488,50392,8076,0,10,4844.1608,1184.621,342.8808,128.9243,53.954,19.1495,10.5354,4.2211,1.8601,4.0277,308.8685,261.555,129.393,69.2532,37.7799,16.3647,10.6324,4.9298,2.5229,8.4948,98.3159,83.2556,41.1871,22.044,12.0257,5.2091,3.3844,1.5692,0.8031,2.704,2.0601,4.7923,3.9358,2.9828,2.1132,1.1158,0.8557,0.4588,0.2725,1.6518,20979,354,88,38,17,8,3,1,0,0,"PI535447","WW+",1
"8",11,1,1224.0589,40.6717,30.0961,1526.466,97.2983,305.6716,0.6374,1526.466,4.871,6655,14222,7031,0,10,1073.0243,237.1294,72.8239,63.7145,45.9051,5.7502,1.9434,0.7949,0.6281,24.2814,64.5435,53.4816,26.704,36.1925,30.9038,4.8512,1.9449,0.9124,0.818,60.3242,20.5448,17.0237,8.5001,11.5204,9.837,1.5442,0.6191,0.2904,0.2604,19.2018,0.4071,0.9965,0.7915,1.6497,1.6617,0.3264,0.1553,0.0834,0.0849,12.0622,6511,102,17,10,11,2,0,0,0,2,"PI535447","WW+",2
"9",12,1,1224.0589,40.6717,30.0961,8762.1881,434.3475,1364.5429,0.4957,8762.1881,16.91,33355,72543,10884,0,10,6323.7626,1634.1637,469.2671,180.9245,72.631,36.5359,22.2296,6.7908,6.1061,5.0208,402.0256,360.9565,179.2842,96.8567,51.1001,31.6883,22.3084,7.8894,8.0837,8.4363,127.9687,114.896,57.0679,30.8305,16.2657,10.0867,7.101,2.5113,2.5731,2.6854,2.6787,6.61,5.5172,4.1557,2.8726,2.1937,1.7847,0.7303,0.853,1.1579,32316,730,211,53,33,7,5,0,0,0,"PI535447","WW+",3
"10",13,3,1900.8907,66.3458,57.2992,14587.9383,900.4961,2828.9919,1.2364,14587.9383,43.684,45409,144002,19370,0,20,9534.5686,3117.1464,948.0124,468.324,216.2013,115.9002,59.1489,41.4746,23.9319,54.6805,604.5137,683.4754,360.3525,252.444,152.2482,99.6211,59.9299,48.1801,31.7322,108.94,192.4227,217.557,114.7038,80.3555,48.4621,31.7104,19.0762,15.3362,10.1007,34.6767,4.0875,12.4267,11.0428,10.9093,8.5674,6.8307,4.8419,4.4597,3.3527,18.8752,43403,1369,355,185,62,15,12,5,3,0,"PI313250","WW+",1
