GT,Water,EXP,REP,ABA,Gs,GWC,A,Max_T,Min_T,Avg_T,Max_VPD,Min_VPD,Avg_VPD,BM,WU,LP
GA,WW,4,1,515.078237,0.431640625,0.888297243,26.23423558,24.2,18.8,22.22056738,1.859307425,0.832637958,1.153125098,3,2661.75,0.792022792
GA,WW,4,1,24.11964377,0.222398554,0.929449911,13.77649519,24.2,18.8,22.22056738,1.859307425,0.832637958,1.153125098,2.89,2285.3,0.758823529
GA,WW,4,1,582.9631785,0.439579826,0.812639231,15.32074041,24.2,18.8,22.22056738,1.859307425,0.832637958,1.153125098,2.51,1939.8,0.781456954
GA,WW,4,1,80.50422519,0.27553425,0.594598044,16.29784956,24.2,18.8,22.22056738,1.859307425,0.832637958,1.153125098,3.19,1997.94,0.732432432
GA,WW,4,2,478.0620744,0.368251557,0.874338173,24.29214728,24.2,18.8,22.22056738,1.859307425,0.832637958,1.153125098,5.22,2512.85,0.748691099
GA,WW,4,2,197.4252834,0.313212695,0.96293085,17.84438722,24.2,18.8,22.22056738,1.859307425,0.832637958,1.153125098,2.74,2163.9,0.76
GA,WW,4,2,360.2587036,0.453348172,0.847369574,24.79160326,24.2,18.8,22.22056738,1.859307425,0.832637958,1.153125098,3.97,2276.58,0.763392857
GA,WW,4,2,4598.526159,0.202259896,0.541635315,12.0040355,24.2,18.8,22.22056738,1.859307425,0.832637958,1.153125098,4.24,2390.84,0.778947368
GA,WW,4,3,2.916226108,0.607746706,0.849156467,32.19736882,24.2,18.8,22.22056738,1.859307425,0.832637958,1.153125098,4.67,2956.9,0.772200772
GA,WW,4,3,548.7352914,0.311079086,0.969422001,22.61037227,24.2,18.8,22.22056738,1.859307425,0.832637958,1.153125098,3.01,2190.2,0.738636364
GA,WW,4,3,520.2062125,0.338208677,0.689628966,21.41778646,24.2,18.8,22.22056738,1.859307425,0.832637958,1.153125098,3.6,2156.2,0.763990268
GA,WW,4,3,NA,0.158540777,0.623810554,9.057898349,24.2,18.8,22.22056738,1.859307425,0.832637958,1.153125098,3.04,2309.3,0.774647887
GA,WW,4,4,17.79237121,0.440141505,0.936833658,25.24652838,24.2,18.8,22.22056738,1.859307425,0.832637958,1.153125098,1.8,2182.7,0.796536797
GA,WW,4,4,NA,0.40891496,0.87588218,26.69625944,24.2,18.8,22.22056738,1.859307425,0.832637958,1.153125098,4.25,2243.6,0.779411765
GA,WW,4,4,134.358628,0.311628208,0.686673322,21.73971911,24.2,18.8,22.22056738,1.859307425,0.832637958,1.153125098,5.47,2579.4,0.772575251
GA,WW,4,4,136.6787985,0.240453059,0.502200676,14.59088945,24.2,18.8,22.22056738,1.859307425,0.832637958,1.153125098,4.37,2433.2,0.75204918
GA,WW,4,5,135.1040502,0.513682984,0.880406827,28.54763418,24.2,18.8,22.22056738,1.859307425,0.832637958,1.153125098,2.79,2508.3,0.775757576
GA,WW,4,5,124.5414266,0.275954235,0.957348066,18.46358468,24.2,18.8,22.22056738,1.859307425,0.832637958,1.153125098,5.25,3023.7,0.736111111
GA,WW,4,5,26.72347123,0.453582421,0.724786887,22.95968099,24.2,18.8,22.22056738,1.859307425,0.832637958,1.153125098,5.1,2565.6,0.743315508
GA,WW,4,5,142.4212925,0.217593828,0.660131681,17.10837734,24.2,18.8,22.22056738,1.859307425,0.832637958,1.153125098,3.19,2152.4,0.778378378
GA,WW,4,6,398.7810148,0.572450882,0.796001395,31.04759253,24.2,18.8,22.22056738,1.859307425,0.832637958,1.153125098,3.56,2306,0.788697789
GA,WW,4,6,155.4565168,0.311027957,0.864532279,17.50872595,24.2,18.8,22.22056738,1.859307425,0.832637958,1.153125098,3.55,2385.6,0.763546798
GA,WW,4,6,345.4873279,0.532675433,0.784196547,26.96566849,24.2,18.8,22.22056738,1.859307425,0.832637958,1.153125098,4.51,2473.9,0.74501992
GA,WW,4,6,520.121883,0.126915229,0.445248314,10.56045229,24.2,18.8,22.22056738,1.859307425,0.832637958,1.153125098,4.27,2477.8,0.780334728
KR,WW,4,1,135.7979794,0.419646092,0.943892045,29.33857254,24.2,18.8,22.22056738,1.859307425,0.832637958,1.153125098,2.306,1679.9,0.492481203
KR,WW,4,1,6.426748097,0.260908617,0.919186683,17.98639486,24.2,18.8,22.22056738,1.859307425,0.832637958,1.153125098,3.926,2202.84,0.478971963
KR,WW,4,1,1.719785997,0.396373897,0.787041486,14.78172431,24.2,18.8,22.22056738,1.859307425,0.832637958,1.153125098,4.086,2334.13,0.509009009
KR,WW,4,1,90.8515523,0.415799351,0.752239085,17.17061926,24.2,18.8,22.22056738,1.859307425,0.832637958,1.153125098,0.996,1669.7,0.518518519
KR,WW,4,2,42.47101585,0.223331032,0.865798972,18.68210368,24.2,18.8,22.22056738,1.859307425,0.832637958,1.153125098,3.566,2238,0.5
