Location ID,Block,Row,compass,Num_Lseed,expected,Num_BW,Num_W,"dominant 
Weed Types",quad_area,leg_emerg,BW_density,Leg_density,W_density,Leg_stand,BW_stand,W_stand,BW heigh 1,BW height 2,BW height 3,BW height 4,Leg heigh 1,Leg height 2,Leg heigh 3,Leg height 4,pH,OM_perc,"NitrateN_pp,",AmmoniumN_ppm,P_lbA,K_psat,K_lbA,Ca_psat,Ca_lbA,Mg_psat,Mg_ppm,S_ppm,B_ppm,Cu_ppm,Fe_ppm,Mn_ppm,Zn_ppm,CEC,Location ID,Field,V1,W1,BD_initial,V2,W2,BD_final,"BW
Biomass w/ Roots","BW
Biomass w/o Roots","Legume 
Biomass","Weed 
Biomass"
1,F,F1,East,NA,NA,29,24,grass,0.25,NA,116,NA,96,NA,54.71698113,45.28301887,NA,NA,NA,NA,NA,NA,NA,NA,7.9,4.5,10,1,111,9.5,919,73.9,8176,16.7,1115,23,1.1,0.24,6.9,30.1,1.8,12.4,1,F,64.08849013,62.49,0.975058078,62.83185307,58.93,0.93790008,98,49,NA,280.97
2,F,F1,West,NA,NA,14,19,Pigweed,0.25,NA,56,NA,76,NA,42.42424242,57.57575758,NA,NA,NA,NA,NA,NA,NA,NA,7.7,4.7,11,1,124,8.1,764,79.4,8159,12.5,774,21,1.1,0.2,5.8,23.5,1.8,12.1,2,F,42.09734156,48.1,1.142589965,56.54866776,58.81,1.039989134,287,132,NA,112.92
3,F,F2,East,6,6,10,25,grass,0.25,1,40,24,100,14.63414634,24.3902439,60.97560976,100,92.5,81,84.5,56,21,25,27,7.9,4.3,11,1,112,9,861,74.1,8372,16.9,1154,22,1.1,0.2,5.4,30.1,1.5,12.2,3,F,70.05751618,59.82,0.853869838,75.39822369,70.67,0.937289986,130,88,,16.11
4,F,F2,West,3,6,16,7,Pigweed,0.25,0.5,64,12,28,11.53846154,61.53846154,26.92307692,82.5,96,99.5,86,37,22,26,NA,7.7,4.4,11,1,186,9.6,887,77.6,8077,12.8,810,21,1.1,0.19,5.2,22.6,1.8,11.7,4,F,43.35397862,42.65,0.983762076,47.43804907,45.92,0.967999336,209,98,11.64,26.83
5,F,F3,East,4,9,12,5,grass,0.25,0.444444444,48,16,20,19.04761905,57.14285714,23.80952381,121,97,95.5,98,6.5,7.5,13,9,7.9,3.6,11,1,80,8.1,719,76.1,8151,15.9,1031,18,1,0.19,3.8,32.2,1.5,11.4,5,F,75.39822369,78.03,1.034905017,63.4601716,56.48,0.890007048,495,192,0.12,48.64
6,F,F3,West,5,9,8,17,grass,0.25,0.555555556,32,20,68,16.66666667,26.66666667,56.66666667,102,104.5,88,81.5,8,6.5,7,11,7.8,3.7,13,1,119,10.7,948,76.6,7708,12.7,774,18,1,0.18,4.7,21.9,1.6,11.2,6,F,63.14601234,59.96,0.949545312,38.9557489,37.99,0.975209079,333,131,,61.87
7,F,F4,East,NA,NA,9,26,grass,0.25,NA,36,NA,104,NA,25.71428571,74.28571429,NA,NA,NA,NA,NA,NA,NA,NA,7.9,3.8,8,1,101,11,1000,73.7,8267,15.3,1038,24,1.1,0.19,3.4,31.1,1.5,11.6,7,F,75.39822369,67.46,0.894716038,56.54866776,49.76,0.879949997,384,154,NA,64.85
8,F,F4,West,NA,NA,13,11,dandelion,0.25,NA,52,NA,44,NA,54.16666667,45.83333333,NA,NA,NA,NA,NA,NA,NA,NA,7.8,3.3,10,1,81,8.4,708,79.2,7651,12.4,726,15,0.9,0.18,3.3,19.4,1.3,10.8,8,F,72.5707903,64.71,0.891681071,30.78760801,30.59,0.993581573,98,48,NA,95.85
9,F,F5,East,4,6,8,15,grass,0.25,0.666666667,32,16,60,14.81481481,29.62962963,55.55555556,91,78.5,91.5,70,18.5,19.5,28,30.5,7.9,3.2,9,1,61,8.9,763,74.9,8177,16.2,1070,18,0.9,0.23,5.7,33.5,1.3,10.9,9,F,75.39822369,87.81,1.164616296,73.19910883,73.27,1.00096847,174,57,22.84,212.94
10,F,F5,West,5,6,10,10,Pigweed/LQ,0.25,0.833333333,40,20,40,20,40,40,98.5,102,110,69,20,49.5,17,16,7.8,4.6,13,1,143,11.6,1114,75.1,7619,13.4,819,20,1,0.19,3.3,21,1.6,12.2,10,F,75.39822369,73.47,0.974426139,49.63716393,42.66,0.859436693,597,265,9.78,4.69
